Ticker,Month,Monthly_Return
JSWSTEEL,September,9.52735392631186
KOTAKBANK,April,-9.312000893505333
KOTAKBANK,August,-0.6610325495774487
KOTAKBANK,December,9.003141959440155
KOTAKBANK,February,-7.313125771499106
KOTAKBANK,January,-4.394625880627509
KOTAKBANK,July,-0.01106133510313689
KOTAKBANK,June,4.915456476819653
KOTAKBANK,March,3.34548822133472
KOTAKBANK,May,6.648050011106527
KOTAKBANK,November,2.1485734168406374
KOTAKBANK,October,0.23450392287426275
KOTAKBANK,September,4.13986799606797
LT,April,-6.349661281917661
LT,August,-1.9752335088508477
LT,December,10.510397567893687
LT,February,2.3410829899941197
LT,January,-1.2962884170815023
LT,July,8.179382115665447
LT,June,-8.947564245666712
LT,March,3.588826200633001
LT,May,1.939158216418952
LT,November,24.460332262632534
LT,October,17.86545188318556
LT,September,-0.20499036138035154
M&M,April,12.547300294892866
M&M,August,-0.8131805968038466
M&M,December,6.391879421716401
M&M,February,17.03358265451352
M&M,January,-3.0382199260259495
M&M,July,1.110975885390416
M&M,June,8.832574031890664
M&M,March,-2.6153729187257726
M&M,May,14.69464338832574
M&M,November,107.1325450295614
M&M,October,77.47820996487576
M&M,September,11.44760532949226
MARUTI,April,1.972218686354376
MARUTI,August,-7.156571762213626
MARUTI,December,-2.677196595407025
MARUTI,February,6.113461176912957
MARUTI,January,-0.9374422607528677
MARUTI,July,8.317607660639293
MARUTI,June,-3.545164173242541
MARUTI,March,8.427882402041137
MARUTI,May,-3.170940271058589
MARUTI,November,8.171845362639093
MARUTI,October,7.050904135538191
MARUTI,September,6.522683747203763
NESTLEIND,April,-3.0244430693069235
NESTLEIND,August,0.6743156199677939
NESTLEIND,December,9.210472253950517
NESTLEIND,February,5.203014831023569
NESTLEIND,January,-8.447925647732745
NESTLEIND,July,-4.351466064405591
NESTLEIND,June,8.348018088787919
NESTLEIND,March,0.8033981049030384
NESTLEIND,May,-6.26517533734029
NESTLEIND,November,-5.863182631206349
NESTLEIND,October,1.4084570158456944
NESTLEIND,September,7.173592573409287
NTPC,April,6.0902585073754825
NTPC,August,-1.7121265792891724
NTPC,December,15.690648819483172
NTPC,February,4.223602484472057
NTPC,January,2.5020177562550443
NTPC,July,12.50845165652468
NTPC,June,-3.4328739152628867
NTPC,March,-2.241630276564771
NTPC,May,-2.7232082373662134
NTPC,November,57.1152192605331
NTPC,October,69.21641791044776
NTPC,September,8.097560975609754
ONGC,April,4.798073360503908
ONGC,August,-3.218727139722019
ONGC,December,5.397070161912104
ONGC,February,6.844336765596615
ONGC,January,22.83905527148771
ONGC,July,22.44000732734933
ONGC,June,-3.484688489968333
ONGC,March,-0.9240436148586212
ONGC,May,-6.52404526166902
ONGC,November,31.547937868237817
ONGC,October,44.17659804983748
ONGC,September,-8.767627222562835
